date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
28/04/2020,0,0,0,0,0,0
29/04/2020,0,0,0,0,0,0
30/04/2020,0,0,0,0,0,0
01/05/2020,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0
04/05/2020,0,0,0,0,0,0
05/05/2020,0,0,0,0,0,0
06/05/2020,0,0,0,0,0,0
07/05/2020,0,0,0,0,0,0
08/05/2020,0,0,0,0,0,0
09/05/2020,0,0,0,0,0,0
10/05/2020,1,1,0,0,1,1
11/05/2020,0,1,0,0,0,1
12/05/2020,0,1,0,0,0,1
13/05/2020,0,1,0,0,0,1
14/05/2020,0,1,0,0,0,1
15/05/2020,0,1,0,0,0,1
16/05/2020,0,1,0,0,0,1
17/05/2020,0,1,0,0,0,1
18/05/2020,0,1,0,0,0,1
19/05/2020,0,1,0,0,0,1
20/05/2020,0,1,0,0,0,1
21/05/2020,0,1,0,0,0,1
22/05/2020,0,1,0,0,0,1
23/05/2020,0,1,0,0,0,1
24/05/2020,0,1,0,0,0,1
25/05/2020,1,2,1,1,0,1
26/05/2020,0,2,0,1,0,1
27/05/2020,0,2,0,1,0,1
28/05/2020,0,2,0,1,0,1
29/05/2020,0,2,0,1,0,1
30/05/2020,0,2,0,1,0,1
31/05/2020,0,2,0,1,0,1
01/06/2020,0,2,0,1,0,1
02/06/2020,0,2,0,1,0,1
03/06/2020,0,2,0,1,0,1
04/06/2020,0,2,0,1,0,1
05/06/2020,0,2,0,1,0,1
06/06/2020,0,2,0,1,0,1
07/06/2020,0,2,0,1,0,1
08/06/2020,0,2,0,1,0,1
09/06/2020,0,2,0,1,0,1
10/06/2020,0,2,0,1,0,1
11/06/2020,0,2,0,1,0,1
12/06/2020,0,2,0,1,0,1
13/06/2020,0,2,0,1,0,1
14/06/2020,0,2,0,1,0,1
15/06/2020,0,2,0,1,0,1
16/06/2020,0,2,0,1,0,1
17/06/2020,0,2,0,1,0,1
18/06/2020,3,5,3,4,0,1
19/06/2020,1,6,1,5,0,1
20/06/2020,0,6,0,5,0,1
21/06/2020,1,7,1,6,0,1
22/06/2020,0,7,0,6,0,1
23/06/2020,0,7,0,6,0,1
24/06/2020,7,14,5,11,1,2
25/06/2020,5,19,5,16,0,2
26/06/2020,31,50,31,47,0,2
27/06/2020,8,58,8,55,0,2
28/06/2020,47,105,47,102,0,2
29/06/2020,29,134,29,131,0,2
30/06/2020,4,138,4,135,0,2
01/07/2020,2,140,2,137,0,2
02/07/2020,0,140,0,137,0,2
03/07/2020,0,140,0,137,0,2
04/07/2020,0,140,0,137,0,2
05/07/2020,27,167,27,164,0,2
06/07/2020,1,168,1,165,0,2
07/07/2020,1,169,1,166,0,2
08/07/2020,0,169,0,166,0,2
09/07/2020,3,172,3,169,0,2
10/07/2020,5,177,4,173,0,2
11/07/2020,3,180,3,176,0,2
12/07/2020,1,181,1,177,0,2
13/07/2020,0,181,0,177,0,2
14/07/2020,0,181,0,177,0,2
15/07/2020,0,181,0,177,0,2
16/07/2020,5,186,5,182,0,2
17/07/2020,0,186,0,182,0,2
18/07/2020,1,187,1,183,0,2
19/07/2020,0,187,0,183,0,2
20/07/2020,0,187,0,183,0,2
21/07/2020,1,188,0,183,0,2
22/07/2020,0,188,0,183,0,2
23/07/2020,0,188,0,183,0,2
24/07/2020,2,190,2,185,0,2
25/07/2020,2,192,2,187,0,2
26/07/2020,1,193,1,188,0,2
27/07/2020,6,199,0,188,0,2
28/07/2020,0,199,0,188,0,2
29/07/2020,1,200,1,189,0,2
30/07/2020,0,200,0,189,0,2
31/07/2020,0,200,0,189,0,2
01/08/2020,0,200,0,189,0,2
02/08/2020,0,200,0,189,0,2
03/08/2020,0,200,0,189,0,2
04/08/2020,0,200,0,189,0,2
05/08/2020,0,200,0,189,0,2
06/08/2020,0,200,0,189,0,2
07/08/2020,0,200,0,189,0,2
